immatriculation,nom,couleur,occasion
2443 HL 40,A2 1.4,noir,FALSE
2712 BD 35,A2 1.4,noir,FALSE
2556 DT 28,A2 1.4,noir,FALSE
5959 SE 17,A2 1.4,noir,FALSE
2177 XQ 93,A2 1.4,noir,FALSE
1657 GH 30,A2 1.4,noir,FALSE
5397 NM 36,A2 1.4,noir,FALSE
6630 AW 29,A2 1.4,noir,FALSE
9041 DK 24,A2 1.4,noir,FALSE
501 ET 91,A2 1.4,noir,FALSE
1417 RH 25,A2 1.4,noir,FALSE
5325 NW 97,A2 1.4,noir,FALSE
7234 KY 41,A2 1.4,noir,FALSE
9764 HC 24,A2 1.4,noir,FALSE
9119 II 72,A2 1.4,noir,FALSE
3678 CX 60,A2 1.4,noir,FALSE
6887 WK 72,A2 1.4,noir,FALSE
3502 LV 88,A2 1.4,noir,FALSE
7592 PT 50,A2 1.4,noir,FALSE
5629 IL 96,A2 1.4,noir,FALSE
7507 QJ 88,A2 1.4,noir,FALSE
2548 EB 64,A2 1.4,noir,FALSE
4616 LS 62,A2 1.4,noir,FALSE
6228 BF 21,A2 1.4,noir,FALSE
9922 RF 93,A2 1.4,noir,FALSE
8277 FX 45,A2 1.4,noir,FALSE
2103 WR 34,A2 1.4,noir,FALSE
8309 HZ 37,A2 1.4,noir,FALSE
2304 DG 58,A2 1.4,noir,FALSE
2279 UL 70,A2 1.4,noir,FALSE
3347 HV 64,A2 1.4,noir,FALSE
3954 RT 98,A2 1.4,noir,FALSE
4967 DP 95,A2 1.4,noir,FALSE
6978 QN 27,A2 1.4,noir,FALSE
4842 LS 18,A2 1.4,noir,FALSE
6980 UM 38,A2 1.4,noir,FALSE
6657 UX 81,A2 1.4,noir,FALSE
985 DQ 28,A2 1.4,noir,FALSE
3934 NL 49,A2 1.4,noir,FALSE
3687 WL 19,A2 1.4,noir,FALSE
3743 PO 19,A2 1.4,noir,FALSE
2008 IT 64,A2 1.4,noir,FALSE
8071 EK 80,A2 1.4,noir,FALSE
9051 RH 44,A2 1.4,noir,FALSE
3140 AC 33,A2 1.4,noir,FALSE
8645 OC 35,A2 1.4,noir,FALSE
691 DX 29,A2 1.4,noir,FALSE
8840 AK 43,A2 1.4,noir,FALSE
8087 UI 53,A2 1.4,noir,FALSE
6701 NV 87,A2 1.4,noir,FALSE
147 IZ 18,A2 1.4,noir,FALSE
9620 LE 18,A2 1.4,noir,FALSE
6165 OT 75,A2 1.4,noir,FALSE
7805 GI 63,A2 1.4,noir,FALSE
9542 XY 80,A2 1.4,noir,FALSE
624 LE 23,A2 1.4,noir,FALSE
3572 MF 90,A2 1.4,noir,FALSE
5530 QL 48,A2 1.4,noir,FALSE
2527 YL 77,A2 1.4,noir,FALSE
5768 MT 49,A2 1.4,noir,FALSE
5003 BM 87,A2 1.4,noir,FALSE
9337 RF 24,A2 1.4,noir,FALSE
7238 ND 42,A2 1.4,noir,FALSE
8478 TR 55,A2 1.4,noir,FALSE
6763 KC 42,A2 1.4,noir,FALSE
2909 QK 14,A2 1.4,noir,FALSE
596 UG 34,A2 1.4,noir,FALSE
5830 MF 72,A2 1.4,noir,FALSE
6334 JJ 23,A2 1.4,noir,FALSE
8957 VQ 77,A2 1.4,noir,FALSE
432 TS 78,A2 1.4,noir,FALSE
331 JA 65,A2 1.4,noir,FALSE
1399 WU 30,A2 1.4,noir,FALSE
856 JE 63,A2 1.4,noir,FALSE
4682 VU 87,A2 1.4,noir,FALSE
7954 VX 64,A2 1.4,noir,FALSE
2765 PZ 32,A2 1.4,noir,FALSE
4949 WH 11,A2 1.4,noir,FALSE
6794 LY 18,A2 1.4,noir,FALSE
8750 CN 19,A2 1.4,noir,FALSE
4487 LI 91,A2 1.4,noir,FALSE
7710 ND 69,A2 1.4,noir,FALSE
318 BX 56,A2 1.4,noir,FALSE
1730 OW 18,A2 1.4,noir,FALSE
7993 UB 95,A2 1.4,noir,FALSE
3872 PZ 49,A2 1.4,noir,FALSE
2538 LK 17,A2 1.4,noir,FALSE
9219 AL 83,A2 1.4,noir,FALSE
6360 MF 19,A2 1.4,noir,FALSE
2730 AZ 35,A2 1.4,noir,FALSE
7319 HT 64,A2 1.4,noir,FALSE
1960 FN 16,A2 1.4,noir,FALSE
5486 KV 76,A2 1.4,noir,FALSE
3838 EH 77,A2 1.4,noir,FALSE
3269 RC 92,A2 1.4,noir,FALSE
1333 BG 83,A2 1.4,noir,FALSE
2514 LZ 35,A2 1.4,noir,FALSE
4322 FH 67,A2 1.4,noir,FALSE
5620 OU 63,A2 1.4,noir,FALSE
1490 IK 74,A2 1.4,noir,FALSE
8731 EX 62,A2 1.4,noir,FALSE
1231 RY 21,A2 1.4,noir,FALSE
4873 WZ 95,A2 1.4,noir,FALSE
2806 OX 75,A2 1.4,noir,FALSE
7001 IN 79,A2 1.4,noir,FALSE
9272 FJ 12,A2 1.4,noir,FALSE
846 AJ 50,A2 1.4,noir,FALSE
6274 XM 65,A2 1.4,noir,FALSE
5554 FN 98,A2 1.4,noir,FALSE
1574 TJ 85,A2 1.4,noir,FALSE
5903 OQ 73,A2 1.4,noir,FALSE
61 ZE 20,A2 1.4,noir,FALSE
9946 HC 42,A2 1.4,noir,FALSE
8489 AT 50,A2 1.4,noir,FALSE
6280 OL 69,A2 1.4,noir,FALSE
5126 QX 65,A2 1.4,noir,FALSE
9949 WJ 47,A2 1.4,noir,FALSE
8718 RN 83,A2 1.4,noir,FALSE
9857 TL 21,A2 1.4,noir,FALSE
2934 MV 40,A2 1.4,noir,FALSE
3080 FM 48,A2 1.4,noir,FALSE
5961 MD 48,A2 1.4,noir,FALSE
8610 HL 57,A2 1.4,noir,FALSE
9783 VX 91,A2 1.4,noir,FALSE
7236 MU 38,A2 1.4,noir,FALSE
9826 RC 30,A2 1.4,noir,FALSE
9528 JH 98,A2 1.4,noir,FALSE
1504 HW 57,A2 1.4,noir,FALSE
3784 LK 55,A2 1.4,noir,FALSE
5390 US 43,A2 1.4,noir,FALSE
9122 TL 74,A2 1.4,noir,FALSE
3510 WP 33,A2 1.4,noir,FALSE
6432 ZH 43,A2 1.4,noir,FALSE
7195 DC 63,A2 1.4,noir,FALSE
6695 QD 11,A2 1.4,noir,FALSE
881 AD 58,A2 1.4,noir,FALSE
6936 GI 22,A2 1.4,noir,FALSE
6579 OH 94,A2 1.4,noir,FALSE
2885 KT 43,A2 1.4,noir,FALSE
1983 UT 21,A2 1.4,noir,FALSE
8154 XV 16,A2 1.4,noir,FALSE
6210 NY 51,A2 1.4,noir,FALSE
2810 IT 47,A2 1.4,noir,FALSE
3359 KH 13,A2 1.4,noir,FALSE
6441 PC 12,A2 1.4,noir,FALSE
2547 KX 43,A2 1.4,noir,FALSE
5441 JV 67,A2 1.4,noir,FALSE
4782 BT 94,A2 1.4,noir,FALSE
3785 XG 27,A2 1.4,noir,FALSE
3947 DO 24,A2 1.4,noir,FALSE
731 NF 67,A2 1.4,noir,FALSE
2991 SL 28,A2 1.4,noir,FALSE
5719 WS 94,A2 1.4,noir,FALSE
5240 JM 17,A2 1.4,noir,FALSE
1058 MV 95,A2 1.4,noir,FALSE
7823 FE 61,A2 1.4,noir,FALSE
6927 JQ 84,A2 1.4,noir,FALSE
220 IO 24,A2 1.4,noir,FALSE
8170 KZ 49,A2 1.4,noir,FALSE
6538 CI 37,A2 1.4,noir,FALSE
7978 SQ 24,A2 1.4,noir,FALSE
2046 QS 58,A2 1.4,noir,FALSE
4696 ME 44,A2 1.4,noir,FALSE
4667 EQ 86,A2 1.4,noir,FALSE
7248 ZC 74,A2 1.4,noir,FALSE
7790 XU 96,A2 1.4,noir,FALSE
1640 QJ 23,A2 1.4,noir,FALSE
7764 NB 17,A2 1.4,noir,FALSE
3361 WB 96,A2 1.4,noir,FALSE
5782 NE 52,A2 1.4,noir,FALSE
2971 YG 27,A2 1.4,noir,FALSE
6274 GR 65,A2 1.4,noir,FALSE
5302 OU 64,A2 1.4,noir,FALSE
6487 ZI 31,A2 1.4,noir,FALSE
8968 HK 89,A2 1.4,noir,FALSE
1900 YG 31,A2 1.4,noir,FALSE
8830 UW 84,A2 1.4,noir,FALSE
4726 MM 82,A2 1.4,noir,FALSE
8839 NX 35,A2 1.4,noir,FALSE
9929 IK 56,A2 1.4,noir,FALSE
4394 HL 68,A2 1.4,noir,FALSE
9354 GZ 53,A2 1.4,noir,FALSE
2449 PL 10,A2 1.4,noir,FALSE
7693 TK 86,A2 1.4,noir,FALSE
5604 VP 68,A2 1.4,noir,FALSE
4330 ZP 62,A2 1.4,noir,FALSE
6640 MO 81,A2 1.4,noir,FALSE
6061 NT 98,A2 1.4,noir,FALSE
5720 SG 30,A2 1.4,noir,FALSE
2507 KQ 47,A2 1.4,noir,FALSE
6953 LG 71,A2 1.4,noir,FALSE
2990 KC 50,A2 1.4,noir,FALSE
7395 RA 98,A2 1.4,noir,FALSE
171 UG 83,A2 1.4,noir,FALSE
869 BY 21,A2 1.4,noir,FALSE
7193 CZ 29,A2 1.4,noir,FALSE
4356 OK 68,A2 1.4,noir,FALSE
484 XN 93,A2 1.4,noir,FALSE
3675 HK 79,A2 1.4,noir,FALSE
9665 WJ 46,A2 1.4,noir,FALSE
3861 QX 57,A2 1.4,noir,FALSE
9553 YZ 77,A2 1.4,noir,FALSE
4601 OJ 43,A2 1.4,noir,FALSE
2065 VM 60,A2 1.4,noir,FALSE
5234 GN 54,A2 1.4,noir,FALSE
4040 KX 66,A2 1.4,noir,FALSE
1590 JY 23,A2 1.4,noir,FALSE
8783 VW 42,A2 1.4,noir,FALSE
6736 QN 67,A2 1.4,noir,FALSE
8070 ZL 31,A2 1.4,noir,FALSE
2929 LZ 47,A2 1.4,noir,FALSE
3391 GB 77,A2 1.4,noir,FALSE
8567 YF 97,A2 1.4,noir,FALSE
9199 CV 83,A2 1.4,noir,FALSE
7917 WJ 37,A2 1.4,noir,FALSE
5031 VN 96,A2 1.4,noir,FALSE
6364 AQ 52,A2 1.4,noir,FALSE
1701 UI 39,A2 1.4,noir,FALSE
2378 RD 77,A2 1.4,noir,FALSE
8557 OZ 40,A2 1.4,noir,FALSE
1118 PL 67,A2 1.4,noir,FALSE
7858 KN 24,A2 1.4,noir,FALSE
1560 NW 89,A2 1.4,noir,FALSE
2019 BG 27,A2 1.4,noir,FALSE
379 WX 98,A2 1.4,noir,FALSE
8654 GL 42,A2 1.4,noir,FALSE
9457 TM 50,A2 1.4,noir,FALSE
4069 QA 18,A2 1.4,noir,FALSE
1057 AV 27,A2 1.4,noir,FALSE
8081 IO 45,A2 1.4,noir,FALSE
7458 SK 92,A2 1.4,noir,FALSE
5738 SL 30,A2 1.4,noir,FALSE
5164 WR 69,A2 1.4,noir,FALSE
8980 FG 54,A2 1.4,noir,FALSE
1101 LE 68,A2 1.4,noir,FALSE
8073 IX 81,A2 1.4,noir,FALSE
6769 XQ 85,A2 1.4,noir,FALSE
5856 CZ 95,A2 1.4,noir,FALSE
7027 CJ 55,A2 1.4,noir,FALSE
9814 BE 51,A2 1.4,noir,FALSE
7378 GH 54,A2 1.4,noir,FALSE
5374 LP 49,A2 1.4,noir,FALSE
517 MF 39,A2 1.4,noir,FALSE
2543 HL 35,A2 1.4,noir,FALSE
1058 OJ 48,A2 1.4,noir,FALSE
6231 OL 50,A2 1.4,noir,FALSE
5620 PW 34,A2 1.4,noir,FALSE
331 NZ 59,A2 1.4,noir,FALSE
5241 FL 11,A2 1.4,noir,FALSE
1313 LL 37,A2 1.4,noir,FALSE
5889 OP 67,A2 1.4,noir,FALSE
7165 WK 76,A2 1.4,noir,FALSE
191 LZ 47,A2 1.4,noir,FALSE
4400 FN 70,A2 1.4,noir,FALSE
3552 WF 53,A2 1.4,noir,FALSE
1219 BX 38,A2 1.4,noir,FALSE
546 BB 80,A2 1.4,noir,FALSE
5920 MC 71,A2 1.4,noir,FALSE
764 ZE 31,A2 1.4,noir,FALSE
6523 HZ 73,A2 1.4,noir,FALSE
6867 GK 79,A2 1.4,noir,FALSE
2918 CO 64,A2 1.4,noir,FALSE
9308 IB 87,A2 1.4,noir,FALSE
5229 YB 33,A2 1.4,noir,FALSE
7181 RV 77,A2 1.4,noir,FALSE
3434 AL 80,A2 1.4,noir,FALSE
2916 JS 12,A2 1.4,noir,FALSE
635 LC 56,A2 1.4,noir,FALSE
4374 AS 92,A2 1.4,noir,FALSE
4666 YT 31,A2 1.4,noir,FALSE
7974 SC 94,A2 1.4,noir,FALSE
4490 OQ 32,A2 1.4,noir,FALSE
8219 JN 40,A2 1.4,noir,FALSE
3081 KP 40,A2 1.4,noir,FALSE
813 BZ 84,A2 1.4,noir,FALSE
4166 UT 11,A2 1.4,noir,FALSE
3391 YJ 41,A2 1.4,noir,FALSE
4564 LP 89,A2 1.4,noir,FALSE
5648 DR 15,A2 1.4,noir,FALSE
610 QS 67,A2 1.4,noir,FALSE
1523 YK 43,A2 1.4,noir,FALSE
7423 ZH 63,A2 1.4,noir,FALSE
8805 YR 24,A2 1.4,noir,FALSE
9658 KM 46,A2 1.4,noir,FALSE
3568 PW 96,A2 1.4,noir,FALSE
7722 AY 74,A2 1.4,noir,FALSE
6423 OT 68,A2 1.4,noir,FALSE
2828 VP 55,A2 1.4,noir,FALSE
2034 FB 12,A2 1.4,noir,FALSE
803 AS 84,A2 1.4,noir,FALSE
6786 CV 27,A2 1.4,noir,FALSE
2628 RI 10,A2 1.4,noir,FALSE
7258 AA 82,A2 1.4,noir,FALSE
2815 MR 91,A2 1.4,noir,FALSE
733 UE 59,A2 1.4,noir,FALSE
4367 BN 86,A2 1.4,noir,FALSE
5252 CC 13,A2 1.4,noir,FALSE
4556 IF 32,A2 1.4,noir,FALSE
3807 FJ 61,A2 1.4,noir,FALSE
4584 JN 17,A2 1.4,noir,FALSE
5252 JX 81,A2 1.4,noir,FALSE
382 IU 73,A2 1.4,noir,FALSE
7883 AR 36,A2 1.4,noir,FALSE
6389 LU 47,A2 1.4,noir,FALSE
787 RV 95,A2 1.4,noir,FALSE
3630 YT 35,A2 1.4,noir,FALSE
8880 TQ 74,A2 1.4,noir,FALSE
6881 UN 91,A2 1.4,noir,FALSE
7435 IV 22,A2 1.4,noir,FALSE
1720 QG 68,A2 1.4,noir,FALSE
2886 SP 87,A2 1.4,noir,FALSE
6407 IG 38,A2 1.4,noir,FALSE
2725 ZM 67,A2 1.4,noir,FALSE
3180 RZ 46,A2 1.4,noir,FALSE
7682 IT 54,A2 1.4,noir,FALSE
6721 SW 93,A2 1.4,noir,FALSE
1495 CH 39,A2 1.4,noir,FALSE
8506 DL 37,A2 1.4,noir,FALSE
1472 DG 35,A2 1.4,noir,FALSE
8218 SN 90,A2 1.4,noir,FALSE
4456 QX 61,A2 1.4,noir,FALSE
2095 GE 54,A2 1.4,noir,FALSE
5119 FS 76,A2 1.4,noir,FALSE
3408 TM 88,A2 1.4,noir,FALSE
5813 CR 58,A2 1.4,noir,FALSE
4655 KY 95,A2 1.4,noir,FALSE
4930 XX 22,A2 1.4,noir,FALSE
2017 TW 37,A2 1.4,noir,FALSE
6703 CF 74,A2 1.4,noir,FALSE
8306 WW 93,A2 1.4,noir,FALSE
5231 UP 62,A2 1.4,noir,FALSE
295 VS 42,A2 1.4,noir,FALSE
4178 BI 89,A2 1.4,noir,FALSE
3331 BU 39,A2 1.4,noir,FALSE
8720 KT 70,A2 1.4,noir,FALSE
9236 JT 88,A2 1.4,noir,FALSE
9763 AW 57,A2 1.4,noir,FALSE
8905 VA 16,A2 1.4,noir,FALSE
8108 QU 87,A2 1.4,noir,FALSE
6108 IP 98,A2 1.4,noir,FALSE
1740 OC 53,A2 1.4,noir,FALSE
5296 DT 53,A2 1.4,noir,FALSE
9222 JM 23,A2 1.4,noir,FALSE
8772 KM 51,A2 1.4,noir,FALSE
4232 SR 76,A2 1.4,noir,FALSE
3175 ZC 37,A2 1.4,noir,FALSE
9305 NU 43,A2 1.4,noir,FALSE
2510 RA 89,A2 1.4,noir,FALSE
6312 YA 16,A2 1.4,noir,FALSE
7353 RP 23,A2 1.4,noir,FALSE
6924 IM 18,A2 1.4,noir,FALSE
895 PS 84,A2 1.4,noir,FALSE
4020 KY 12,A2 1.4,noir,FALSE
3146 IX 59,A2 1.4,noir,FALSE
5566 PE 22,A2 1.4,noir,FALSE
3154 BD 92,A2 1.4,noir,FALSE
713 LL 22,A2 1.4,noir,FALSE
4495 AN 16,A2 1.4,noir,FALSE
4161 XU 72,A2 1.4,noir,FALSE
8355 OR 68,A2 1.4,noir,FALSE
6598 MG 12,A2 1.4,noir,FALSE
695 YL 34,A2 1.4,noir,FALSE
4330 ZA 63,A2 1.4,noir,FALSE
7441 GA 68,A2 1.4,noir,FALSE
5161 TY 73,A2 1.4,noir,FALSE
8361 UG 69,A2 1.4,noir,FALSE
2119 AL 14,A2 1.4,noir,FALSE
4757 NS 56,A2 1.4,noir,FALSE
1041 LK 97,A2 1.4,noir,FALSE
4143 DH 75,A2 1.4,noir,FALSE
2522 MC 90,A2 1.4,noir,FALSE
4471 MB 81,A2 1.4,noir,FALSE
2765 EB 39,A2 1.4,noir,FALSE
1060 EI 98,A2 1.4,noir,FALSE
2974 AX 48,A2 1.4,noir,FALSE
9462 AE 39,A2 1.4,noir,FALSE
6095 DK 72,A2 1.4,noir,FALSE
4404 QU 48,A2 1.4,noir,FALSE
4284 QC 74,A2 1.4,noir,FALSE
9723 SZ 83,A2 1.4,noir,FALSE
7641 PY 98,A2 1.4,noir,FALSE
4198 NR 23,A2 1.4,noir,FALSE
4849 SZ 86,A2 1.4,noir,FALSE
5598 BT 15,A2 1.4,noir,FALSE
9404 XA 62,A2 1.4,noir,FALSE
3597 BK 92,A2 1.4,noir,FALSE
274 BE 76,A2 1.4,noir,FALSE
2989 VH 46,A2 1.4,noir,FALSE
5614 VN 55,A2 1.4,noir,FALSE
5519 SK 63,A2 1.4,noir,FALSE
2422 HB 90,A2 1.4,noir,FALSE
947 JG 93,A2 1.4,noir,FALSE
2446 EN 42,A2 1.4,noir,FALSE
7014 UC 96,A2 1.4,noir,FALSE
8926 OL 24,A2 1.4,noir,FALSE
7468 KP 21,A2 1.4,noir,FALSE
4103 SA 89,A2 1.4,noir,FALSE
1797 WJ 52,A2 1.4,noir,FALSE
7038 VE 89,A2 1.4,noir,FALSE
4487 BJ 89,A2 1.4,noir,FALSE
606 LZ 73,A2 1.4,noir,FALSE
656 VQ 60,A2 1.4,noir,FALSE
6041 RC 40,A2 1.4,noir,FALSE
1999 YP 83,A2 1.4,noir,FALSE
2174 DO 85,A2 1.4,noir,FALSE
9393 CF 79,A2 1.4,noir,FALSE
882 OP 35,A2 1.4,noir,FALSE
888 NQ 19,A2 1.4,noir,FALSE
3659 WU 38,A2 1.4,noir,FALSE
3994 FU 37,A2 1.4,noir,FALSE
5471 BB 78,A2 1.4,noir,FALSE
2767 FX 31,A2 1.4,noir,FALSE
4233 TY 92,A2 1.4,noir,FALSE
3667 TV 88,A2 1.4,noir,FALSE
6137 QL 22,A2 1.4,noir,FALSE
7298 NE 50,A2 1.4,noir,FALSE
4645 OJ 40,A2 1.4,noir,FALSE
3271 RV 62,A2 1.4,noir,FALSE
4747 OX 78,A2 1.4,noir,FALSE
6492 UE 30,A2 1.4,noir,FALSE
1414 RW 82,A2 1.4,noir,FALSE
6713 TW 76,A2 1.4,noir,FALSE
974 RB 43,A2 1.4,noir,FALSE
1111 MM 84,A2 1.4,noir,FALSE
5250 BO 89,A2 1.4,noir,FALSE
7242 CA 46,A2 1.4,noir,FALSE
2133 VP 89,A2 1.4,noir,FALSE
9176 GZ 89,A2 1.4,noir,FALSE
5663 TY 81,A2 1.4,noir,FALSE
8535 ZF 32,A2 1.4,noir,FALSE
6332 VW 48,A2 1.4,noir,FALSE
3454 SC 44,A2 1.4,noir,FALSE
7827 AE 89,A2 1.4,noir,FALSE
9212 AJ 54,A2 1.4,noir,FALSE
8052 ZK 80,A2 1.4,noir,FALSE
5333 RX 40,A2 1.4,noir,FALSE
2246 PE 39,A2 1.4,noir,FALSE
3346 LH 29,A2 1.4,noir,FALSE
2983 FX 96,A2 1.4,noir,FALSE
2082 NI 71,A2 1.4,noir,FALSE
4435 ZR 12,A2 1.4,noir,FALSE
8005 XS 29,A2 1.4,noir,FALSE
5577 KN 10,A2 1.4,noir,FALSE
7137 YU 76,A2 1.4,noir,FALSE
1254 VG 94,A2 1.4,noir,FALSE
8913 FJ 87,A2 1.4,noir,FALSE
181 QH 65,A2 1.4,noir,FALSE
919 RF 90,A2 1.4,noir,FALSE
1410 LT 48,A2 1.4,noir,FALSE
5600 NV 84,A2 1.4,noir,FALSE
7497 SP 64,A2 1.4,noir,FALSE
4892 UR 10,A2 1.4,noir,FALSE
113 OP 72,A2 1.4,noir,FALSE
1072 WN 23,A2 1.4,noir,FALSE
6734 VZ 20,A2 1.4,noir,FALSE
8425 SG 24,A2 1.4,noir,FALSE
894 VR 40,A2 1.4,noir,FALSE
3674 UX 50,A2 1.4,noir,FALSE
4123 OO 35,A2 1.4,noir,FALSE
8189 MX 31,A2 1.4,noir,FALSE
1478 XP 67,A2 1.4,noir,FALSE
1452 PE 64,A2 1.4,noir,FALSE
8878 AQ 22,A2 1.4,noir,FALSE
3882 PU 66,A2 1.4,noir,FALSE
7680 GB 90,A2 1.4,noir,FALSE
1381 IR 13,A2 1.4,noir,FALSE
579 BK 78,A2 1.4,noir,FALSE
2829 LS 90,A2 1.4,noir,FALSE
5743 OB 55,A2 1.4,noir,FALSE
3178 WN 35,A2 1.4,noir,FALSE
5717 ZA 20,A2 1.4,noir,FALSE
2320 WU 77,A2 1.4,noir,FALSE
6906 QO 45,A2 1.4,noir,FALSE
8132 AT 70,A2 1.4,noir,FALSE
2330 DX 95,A2 1.4,noir,FALSE
2961 YC 82,A2 1.4,noir,FALSE
9097 NL 54,A2 1.4,noir,FALSE
5173 RI 56,A2 1.4,noir,FALSE
4165 LA 89,A2 1.4,noir,FALSE
4234 RU 83,A2 1.4,noir,FALSE
9603 JT 95,A2 1.4,noir,FALSE
2114 IB 68,A2 1.4,noir,FALSE
9851 FG 36,A2 1.4,noir,FALSE
6465 JW 80,A2 1.4,noir,FALSE
1005 HB 93,A2 1.4,noir,FALSE
1235 FP 95,A2 1.4,noir,FALSE
7975 ZA 86,A2 1.4,noir,FALSE
19 RN 80,A2 1.4,noir,FALSE
7768 CL 42,A2 1.4,noir,FALSE
1054 WL 43,A2 1.4,noir,FALSE
6850 VJ 86,A2 1.4,noir,FALSE
1905 RC 62,A2 1.4,noir,FALSE
547 MY 75,A2 1.4,noir,FALSE
7817 IA 36,A2 1.4,noir,FALSE
9123 WU 64,A2 1.4,noir,FALSE
529 LL 19,A2 1.4,noir,FALSE
2269 VU 21,A2 1.4,noir,FALSE
4074 FY 30,A2 1.4,noir,FALSE
8977 RA 10,A2 1.4,noir,FALSE
9289 MC 77,A2 1.4,noir,FALSE
7833 VI 86,A2 1.4,noir,FALSE
917 EX 64,A2 1.4,noir,FALSE
5906 KK 64,A2 1.4,noir,FALSE
7566 JA 12,A2 1.4,noir,FALSE
4757 SP 58,A2 1.4,noir,FALSE
8435 OK 46,A2 1.4,noir,FALSE
4121 SD 76,A2 1.4,noir,FALSE
6515 HD 58,A2 1.4,noir,FALSE
2840 DM 26,A2 1.4,noir,FALSE
7743 UR 86,A2 1.4,noir,FALSE
3385 PO 83,A2 1.4,noir,FALSE
4630 YV 62,A2 1.4,noir,FALSE
7813 MN 84,A2 1.4,noir,FALSE
8105 MX 98,A2 1.4,noir,FALSE
8290 SP 12,A2 1.4,noir,FALSE
5796 IL 62,A2 1.4,noir,FALSE
9238 BU 20,A2 1.4,noir,FALSE
5199 XN 83,A2 1.4,noir,FALSE
1681 CY 84,A2 1.4,noir,FALSE
8578 PN 40,A2 1.4,noir,FALSE
1951 MA 11,A2 1.4,noir,FALSE
4434 UJ 86,A2 1.4,noir,FALSE
8688 PG 81,A2 1.4,noir,FALSE
7969 GH 47,A2 1.4,noir,FALSE
1815 KG 88,A2 1.4,noir,FALSE
3400 OA 82,A2 1.4,noir,FALSE
1566 WH 87,A2 1.4,noir,FALSE
3124 DJ 43,A2 1.4,noir,FALSE
9420 NS 51,A2 1.4,noir,FALSE
9463 MG 81,A2 1.4,noir,FALSE
683 DS 33,A2 1.4,noir,FALSE
3993 OT 65,A2 1.4,noir,FALSE
6806 PB 89,A2 1.4,noir,FALSE
2646 GS 78,A2 1.4,noir,FALSE
5635 GC 77,A2 1.4,noir,FALSE
7054 PS 24,A2 1.4,noir,FALSE
1195 GK 36,A2 1.4,noir,FALSE
8574 AS 88,A2 1.4,noir,FALSE
1637 BI 86,A2 1.4,noir,FALSE
164 RF 76,A2 1.4,noir,FALSE
7853 DQ 92,A2 1.4,noir,FALSE
774 IJ 35,A2 1.4,noir,FALSE
7678 UY 32,A2 1.4,noir,FALSE
7161 XU 63,A2 1.4,noir,FALSE
5824 OY 81,A2 1.4,noir,FALSE
2309 FI 33,A2 1.4,noir,FALSE
4008 OY 91,A2 1.4,noir,FALSE
6097 YS 65,A2 1.4,noir,FALSE
8137 HY 66,A2 1.4,noir,FALSE
9069 QF 21,A2 1.4,noir,FALSE
6470 YY 83,A2 1.4,noir,FALSE
